OS                           : Linux-4.18.0-425.3.1.el8.x86_64-x86_64-with-glibc2.28
Python Version               : 3.9.12
CuPy Version                 : 10.6.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.21.5
SciPy Version                : 1.7.3
Cython Build Version         : 0.29.24
Cython Runtime Version       : None
CUDA Root                    : /usr/local/cuda
nvcc PATH                    : /usr/local/cuda/bin/nvcc
CUDA Build Version           : 11020
CUDA Driver Version          : 11080
CUDA Runtime Version         : 11040
cuBLAS Version               : (available)
cuFFT Version                : 10502
cuRAND Version               : 10205
cuSOLVER Version             : (11, 2, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 4)
Thrust Version               : 101000
CUB Build Version            : 101000
Jitify Build Version         : 4a37de0
cuDNN Build Version          : (not loaded; try `import cupy.cuda.cudnn` first)
cuDNN Version                : (not loaded; try `import cupy.cuda.cudnn` first)
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100 80GB PCIe
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:E3:00.0
None
Sizes of ptrain and pdot:
[(40000, 46, 46), (40000, 46, 46)]
len(theta) = 4477456
len(jac) = 84640000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 169280000 rows and 4477456 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   350  1.76729e-01  4.982e+00  6.839e+00   2.4e-03  2.9e-04  4.8e+03  1.4e+01
   360  1.76405e-01  4.806e+00  6.440e+00   2.3e-03  2.8e-04  4.8e+03  1.3e+01
   370  1.76096e-01  4.640e+00  6.074e+00   2.2e-03  2.7e-04  4.9e+03  1.5e+01
   380  1.75787e-01  4.485e+00  5.740e+00   2.1e-03  2.6e-04  5.0e+03  1.8e+01
   390  1.75471e-01  4.334e+00  5.423e+00   2.1e-03  2.5e-04  5.0e+03  1.5e+01
   400  1.75155e-01  4.195e+00  5.140e+00   2.0e-03  2.4e-04  5.1e+03  1.3e+01
   410  1.74835e-01  4.064e+00  4.880e+00   1.9e-03  2.3e-04  5.2e+03  1.8e+01
   420  1.74512e-01  3.940e+00  4.638e+00   1.9e-03  2.2e-04  5.2e+03  1.9e+01
   430  1.74168e-01  3.814e+00  4.398e+00   1.8e-03  2.2e-04  5.3e+03  1.7e+01
   440  1.73849e-01  3.699e+00  4.187e+00   1.8e-03  2.1e-04  5.4e+03  1.5e+01
   450  1.73528e-01  3.590e+00  3.990e+00   1.7e-03  2.1e-04  5.4e+03  1.9e+01
   460  1.73210e-01  3.486e+00  3.805e+00   1.7e-03  2.0e-04  5.5e+03  2.0e+01
   470  1.72875e-01  3.383e+00  3.629e+00   1.6e-03  1.9e-04  5.5e+03  1.5e+01
   480  1.72543e-01  3.285e+00  3.463e+00   1.6e-03  1.9e-04  5.6e+03  1.5e+01
   490  1.72218e-01  3.195e+00  3.313e+00   1.5e-03  1.8e-04  5.7e+03  1.8e+01
   500  1.71894e-01  3.106e+00  3.169e+00   1.5e-03  1.8e-04  5.7e+03  2.0e+01
   510  1.71567e-01  3.020e+00  3.033e+00   1.4e-03  1.7e-04  5.8e+03  1.7e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520  1.71250e-01  2.938e+00  2.906e+00   1.4e-03  1.7e-04  5.8e+03  1.6e+01
   530  1.70946e-01  2.862e+00  2.789e+00   1.4e-03  1.7e-04  5.9e+03  1.9e+01
   540  1.70632e-01  2.786e+00  2.676e+00   1.3e-03  1.6e-04  5.9e+03  2.1e+01
   550  1.70303e-01  2.709e+00  2.563e+00   1.3e-03  1.6e-04  6.0e+03  1.9e+01
   560  1.69993e-01  2.639e+00  2.462e+00   1.3e-03  1.5e-04  6.0e+03  1.6e+01
   570  1.69697e-01  2.573e+00  2.368e+00   1.2e-03  1.5e-04  6.1e+03  2.1e+01
   580  1.69379e-01  2.503e+00  2.271e+00   1.2e-03  1.5e-04  6.1e+03  1.9e+01
   590  1.69096e-01  2.441e+00  2.186e+00   1.2e-03  1.4e-04  6.2e+03  1.8e+01
   600  1.68818e-01  2.382e+00  2.107e+00   1.1e-03  1.4e-04  6.2e+03  2.2e+01
   610  1.68525e-01  2.320e+00  2.026e+00   1.1e-03  1.4e-04  6.3e+03  2.4e+01
   620  1.68244e-01  2.262e+00  1.950e+00   1.1e-03  1.4e-04  6.3e+03  1.8e+01
   630  1.67984e-01  2.208e+00  1.882e+00   1.1e-03  1.3e-04  6.4e+03  2.2e+01
   640  1.67721e-01  2.155e+00  1.814e+00   1.0e-03  1.3e-04  6.4e+03  2.1e+01
   650  1.67460e-01  2.102e+00  1.749e+00   1.0e-03  1.3e-04  6.5e+03  1.9e+01
   660  1.67212e-01  2.052e+00  1.689e+00   9.8e-04  1.3e-04  6.5e+03  1.7e+01
   670  1.66972e-01  2.004e+00  1.631e+00   9.6e-04  1.2e-04  6.6e+03  2.3e+01
   680  1.66734e-01  1.957e+00  1.576e+00   9.3e-04  1.2e-04  6.6e+03  2.1e+01
   690  1.66500e-01  1.912e+00  1.523e+00   9.1e-04  1.2e-04  6.7e+03  1.7e+01
   700  1.66273e-01  1.869e+00  1.474e+00   8.9e-04  1.2e-04  6.7e+03  2.0e+01
   710  1.66051e-01  1.827e+00  1.427e+00   8.7e-04  1.1e-04  6.8e+03  2.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720  1.65814e-01  1.784e+00  1.379e+00   8.5e-04  1.1e-04  6.8e+03  2.2e+01
   730  1.65594e-01  1.744e+00  1.335e+00   8.3e-04  1.1e-04  6.9e+03  1.8e+01
   740  1.65386e-01  1.707e+00  1.295e+00   8.2e-04  1.1e-04  6.9e+03  2.3e+01
   750  1.65173e-01  1.670e+00  1.255e+00   8.0e-04  1.1e-04  7.0e+03  2.5e+01
   760  1.64947e-01  1.631e+00  1.214e+00   7.8e-04  1.1e-04  7.0e+03  2.0e+01
   770  1.64732e-01  1.595e+00  1.176e+00   7.6e-04  1.0e-04  7.1e+03  2.0e+01
   780  1.64527e-01  1.561e+00  1.141e+00   7.5e-04  1.0e-04  7.1e+03  2.4e+01
   790  1.64314e-01  1.527e+00  1.106e+00   7.3e-04  1.0e-04  7.2e+03  2.3e+01
   800  1.64109e-01  1.494e+00  1.073e+00   7.1e-04  1.0e-04  7.2e+03  1.9e+01
   810  1.63905e-01  1.461e+00  1.040e+00   7.0e-04  9.8e-05  7.3e+03  2.2e+01
   820  1.63713e-01  1.431e+00  1.011e+00   6.8e-04  9.7e-05  7.3e+03  2.6e+01
   830  1.63509e-01  1.400e+00  9.804e-01   6.7e-04  9.5e-05  7.3e+03  2.0e+01
   840  1.63313e-01  1.371e+00  9.519e-01   6.5e-04  9.4e-05  7.4e+03  2.0e+01
   850  1.63119e-01  1.342e+00  9.246e-01   6.4e-04  9.3e-05  7.4e+03  2.5e+01
   860  1.62924e-01  1.314e+00  8.978e-01   6.3e-04  9.1e-05  7.5e+03  2.6e+01
   870  1.62735e-01  1.286e+00  8.723e-01   6.1e-04  9.0e-05  7.5e+03  2.0e+01
   880  1.62547e-01  1.260e+00  8.475e-01   6.0e-04  8.9e-05  7.6e+03  2.1e+01
