OS                           : Linux-4.18.0-425.3.1.el8.x86_64-x86_64-with-glibc2.28
Python Version               : 3.9.12
CuPy Version                 : 10.6.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.21.5
SciPy Version                : 1.7.3
Cython Build Version         : 0.29.24
Cython Runtime Version       : None
CUDA Root                    : /usr/local/cuda
nvcc PATH                    : /usr/local/cuda/bin/nvcc
CUDA Build Version           : 11020
CUDA Driver Version          : 11080
CUDA Runtime Version         : 11040
cuBLAS Version               : (available)
cuFFT Version                : 10502
cuRAND Version               : 10205
cuSOLVER Version             : (11, 2, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 4)
Thrust Version               : 101000
CUB Build Version            : 101000
Jitify Build Version         : 4a37de0
cuDNN Build Version          : (not loaded; try `import cupy.cuda.cudnn` first)
cuDNN Version                : (not loaded; try `import cupy.cuda.cudnn` first)
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100 80GB PCIe
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:E3:00.0
None
Sizes of ptrain and pdot:
[(40000, 46, 46), (40000, 46, 46)]
len(theta) = 4477456
len(jac) = 84640000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 169280000 rows and 4477456 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1820  1.49633e-01  3.642e-01  8.940e-02   1.7e-04  2.3e-05  1.1e+04  2.0e+01
  1830  1.49532e-01  3.626e-01  8.759e-02   1.7e-04  2.2e-05  1.1e+04  2.6e+01
  1840  1.49432e-01  3.611e-01  8.581e-02   1.7e-04  2.2e-05  1.1e+04  2.9e+01
  1850  1.49330e-01  3.596e-01  8.404e-02   1.7e-04  2.1e-05  1.1e+04  2.4e+01
  1860  1.49230e-01  3.582e-01  8.235e-02   1.7e-04  2.1e-05  1.1e+04  2.5e+01
  1870  1.49132e-01  3.569e-01  8.071e-02   1.7e-04  2.1e-05  1.1e+04  3.2e+01
  1880  1.49031e-01  3.556e-01  7.906e-02   1.7e-04  2.0e-05  1.1e+04  3.9e+01
  1890  1.48930e-01  3.543e-01  7.743e-02   1.7e-04  2.0e-05  1.1e+04  2.7e+01
  1900  1.48828e-01  3.530e-01  7.584e-02   1.7e-04  1.9e-05  1.1e+04  2.6e+01
  1910  1.48733e-01  3.518e-01  7.436e-02   1.7e-04  1.9e-05  1.1e+04  2.9e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1920  1.48635e-01  3.507e-01  7.287e-02   1.7e-04  1.9e-05  1.1e+04  2.8e+01
  1930  1.48538e-01  3.496e-01  7.143e-02   1.7e-04  1.8e-05  1.1e+04  2.6e+01
  1940  1.48442e-01  3.485e-01  7.004e-02   1.7e-04  1.8e-05  1.1e+04  2.9e+01
  1950  1.48345e-01  3.475e-01  6.864e-02   1.7e-04  1.8e-05  1.1e+04  2.8e+01
  1960  1.48245e-01  3.465e-01  6.725e-02   1.7e-04  1.7e-05  1.1e+04  2.5e+01
  1970  1.48147e-01  3.455e-01  6.591e-02   1.6e-04  1.7e-05  1.1e+04  2.1e+01
  1980  1.48056e-01  3.446e-01  6.468e-02   1.6e-04  1.7e-05  1.1e+04  2.7e+01
  1990  1.47965e-01  3.437e-01  6.347e-02   1.6e-04  1.6e-05  1.1e+04  3.0e+01
  2000  1.47865e-01  3.428e-01  6.218e-02   1.6e-04  1.6e-05  1.1e+04  2.6e+01
  2010  1.47773e-01  3.420e-01  6.102e-02   1.6e-04  1.6e-05  1.1e+04  2.5e+01
  2020  1.47683e-01  3.412e-01  5.990e-02   1.6e-04  1.5e-05  1.1e+04  3.2e+01
  2030  1.47585e-01  3.404e-01  5.871e-02   1.6e-04  1.5e-05  1.1e+04  3.1e+01
  2040  1.47493e-01  3.396e-01  5.761e-02   1.6e-04  1.5e-05  1.1e+04  2.6e+01
  2050  1.47403e-01  3.389e-01  5.657e-02   1.6e-04  1.4e-05  1.2e+04  2.6e+01
  2060  1.47312e-01  3.382e-01  5.553e-02   1.6e-04  1.4e-05  1.2e+04  3.3e+01
  2070  1.47218e-01  3.375e-01  5.449e-02   1.6e-04  1.4e-05  1.2e+04  3.1e+01
  2080  1.47124e-01  3.368e-01  5.346e-02   1.6e-04  1.4e-05  1.2e+04  2.5e+01
  2090  1.47033e-01  3.362e-01  5.249e-02   1.6e-04  1.3e-05  1.2e+04  2.7e+01
  2100  1.46946e-01  3.356e-01  5.158e-02   1.6e-04  1.3e-05  1.2e+04  3.0e+01
  2110  1.46859e-01  3.350e-01  5.069e-02   1.6e-04  1.3e-05  1.2e+04  2.8e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  2120  1.46767e-01  3.344e-01  4.977e-02   1.6e-04  1.3e-05  1.2e+04  2.3e+01
  2130  1.46678e-01  3.339e-01  4.890e-02   1.6e-04  1.2e-05  1.2e+04  2.8e+01
  2140  1.46591e-01  3.333e-01  4.807e-02   1.6e-04  1.2e-05  1.2e+04  2.9e+01
  2150  1.46501e-01  3.328e-01  4.724e-02   1.6e-04  1.2e-05  1.2e+04  3.1e+01
  2160  1.46412e-01  3.323e-01  4.642e-02   1.6e-04  1.2e-05  1.2e+04  2.6e+01
  2170  1.46327e-01  3.318e-01  4.567e-02   1.6e-04  1.2e-05  1.2e+04  3.4e+01
  2180  1.46237e-01  3.313e-01  4.488e-02   1.6e-04  1.1e-05  1.2e+04  3.3e+01
  2190  1.46149e-01  3.309e-01  4.414e-02   1.6e-04  1.1e-05  1.2e+04  3.0e+01
  2200  1.46060e-01  3.304e-01  4.341e-02   1.6e-04  1.1e-05  1.2e+04  2.9e+01
  2210  1.45974e-01  3.300e-01  4.271e-02   1.6e-04  1.1e-05  1.2e+04  3.5e+01
  2220  1.45888e-01  3.296e-01  4.203e-02   1.6e-04  1.1e-05  1.2e+04  3.8e+01
  2230  1.45795e-01  3.291e-01  4.131e-02   1.6e-04  1.0e-05  1.2e+04  2.6e+01
  2240  1.45711e-01  3.287e-01  4.068e-02   1.6e-04  1.0e-05  1.2e+04  2.4e+01
  2250  1.45629e-01  3.284e-01  4.007e-02   1.6e-04  1.0e-05  1.2e+04  3.5e+01
  2260  1.45544e-01  3.280e-01  3.946e-02   1.6e-04  9.9e-06  1.2e+04  3.3e+01
  2270  1.45457e-01  3.276e-01  3.885e-02   1.6e-04  9.8e-06  1.2e+04  2.7e+01
  2280  1.45373e-01  3.273e-01  3.827e-02   1.6e-04  9.6e-06  1.2e+04  2.8e+01
  2290  1.45291e-01  3.269e-01  3.773e-02   1.6e-04  9.5e-06  1.2e+04  3.3e+01
  2300  1.45206e-01  3.266e-01  3.717e-02   1.6e-04  9.3e-06  1.2e+04  3.7e+01
  2310  1.45121e-01  3.263e-01  3.662e-02   1.6e-04  9.2e-06  1.2e+04  2.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  2320  1.45039e-01  3.259e-01  3.612e-02   1.6e-04  9.0e-06  1.2e+04  3.2e+01
  2330  1.44956e-01  3.256e-01  3.561e-02   1.6e-04  8.9e-06  1.2e+04  4.1e+01
  2340  1.44874e-01  3.253e-01  3.512e-02   1.6e-04  8.8e-06  1.2e+04  3.4e+01
  2350  1.44790e-01  3.250e-01  3.464e-02   1.6e-04  8.6e-06  1.2e+04  3.3e+01
  2360  1.44708e-01  3.247e-01  3.418e-02   1.6e-04  8.5e-06  1.2e+04  3.8e+01
  2370  1.44623e-01  3.245e-01  3.371e-02   1.5e-04  8.4e-06  1.2e+04  3.0e+01
  2380  1.44542e-01  3.242e-01  3.327e-02   1.5e-04  8.3e-06  1.2e+04  2.7e+01
  2390  1.44462e-01  3.239e-01  3.285e-02   1.5e-04  8.2e-06  1.2e+04  3.1e+01
  2400  1.44380e-01  3.237e-01  3.243e-02   1.5e-04  8.0e-06  1.2e+04  4.0e+01
  2410  1.44299e-01  3.234e-01  3.203e-02   1.5e-04  7.9e-06  1.2e+04  2.7e+01
  2420  1.44218e-01  3.231e-01  3.163e-02   1.5e-04  7.8e-06  1.3e+04  2.7e+01
  2430  1.44141e-01  3.229e-01  3.127e-02   1.5e-04  7.7e-06  1.3e+04  3.7e+01
  2440  1.44059e-01  3.227e-01  3.089e-02   1.5e-04  7.6e-06  1.3e+04  3.2e+01
  2450  1.43978e-01  3.224e-01  3.053e-02   1.5e-04  7.5e-06  1.3e+04  3.0e+01
  2460  1.43904e-01  3.222e-01  3.020e-02   1.5e-04  7.4e-06  1.3e+04  4.0e+01
  2470  1.43827e-01  3.220e-01  2.987e-02   1.5e-04  7.3e-06  1.3e+04  3.8e+01
  2480  1.43745e-01  3.218e-01  2.953e-02   1.5e-04  7.2e-06  1.3e+04  3.6e+01
  2490  1.43668e-01  3.215e-01  2.922e-02   1.5e-04  7.2e-06  1.3e+04  2.9e+01
  2500  1.43591e-01  3.213e-01  2.892e-02   1.5e-04  7.1e-06  1.3e+04  3.4e+01
  2510  1.43512e-01  3.211e-01  2.861e-02   1.5e-04  7.0e-06  1.3e+04  4.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  2520  1.43435e-01  3.209e-01  2.833e-02   1.5e-04  6.9e-06  1.3e+04  3.5e+01
  2530  1.43360e-01  3.207e-01  2.806e-02   1.5e-04  6.8e-06  1.3e+04  3.2e+01
  2540  1.43285e-01  3.205e-01  2.779e-02   1.5e-04  6.8e-06  1.3e+04  3.7e+01
  2550  1.43210e-01  3.203e-01  2.753e-02   1.5e-04  6.7e-06  1.3e+04  4.6e+01
  2560  1.43130e-01  3.201e-01  2.727e-02   1.5e-04  6.6e-06  1.3e+04  3.4e+01
  2570  1.43058e-01  3.200e-01  2.703e-02   1.5e-04  6.6e-06  1.3e+04  4.0e+01
  2580  1.42983e-01  3.198e-01  2.680e-02   1.5e-04  6.5e-06  1.3e+04  5.4e+01
  2590  1.42902e-01  3.196e-01  2.655e-02   1.5e-04  6.4e-06  1.3e+04  4.6e+01
  2600  1.42827e-01  3.194e-01  2.633e-02   1.5e-04  6.4e-06  1.3e+04  3.9e+01
  2610  1.42755e-01  3.192e-01  2.612e-02   1.5e-04  6.3e-06  1.3e+04  4.5e+01
  2620  1.42681e-01  3.190e-01  2.591e-02   1.5e-04  6.2e-06  1.3e+04  5.0e+01
  2630  1.42603e-01  3.189e-01  2.570e-02   1.5e-04  6.2e-06  1.3e+04  4.1e+01
  2640  1.42529e-01  3.187e-01  2.550e-02   1.5e-04  6.1e-06  1.3e+04  3.5e+01
  2650  1.42459e-01  3.185e-01  2.533e-02   1.5e-04  6.1e-06  1.3e+04  5.3e+01
  2660  1.42384e-01  3.184e-01  2.514e-02   1.5e-04  6.0e-06  1.3e+04  5.7e+01
  2670  1.42306e-01  3.182e-01  2.495e-02   1.5e-04  6.0e-06  1.3e+04  4.8e+01
  2680  1.42232e-01  3.180e-01  2.478e-02   1.5e-04  5.9e-06  1.3e+04  3.7e+01
  2690  1.42160e-01  3.179e-01  2.462e-02   1.5e-04  5.9e-06  1.3e+04  4.8e+01
  2700  1.42087e-01  3.177e-01  2.446e-02   1.5e-04  5.8e-06  1.3e+04  5.2e+01
  2710  1.42011e-01  3.176e-01  2.430e-02   1.5e-04  5.8e-06  1.3e+04  4.1e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  2720  1.41938e-01  3.174e-01  2.415e-02   1.5e-04  5.7e-06  1.3e+04  4.1e+01
  2730  1.41865e-01  3.173e-01  2.400e-02   1.5e-04  5.7e-06  1.3e+04  5.7e+01
  2740  1.41791e-01  3.171e-01  2.386e-02   1.5e-04  5.6e-06  1.3e+04  4.2e+01
  2750  1.41714e-01  3.169e-01  2.371e-02   1.5e-04  5.6e-06  1.3e+04  4.1e+01
  2760  1.41643e-01  3.168e-01  2.358e-02   1.5e-04  5.6e-06  1.3e+04  5.0e+01
  2770  1.41573e-01  3.167e-01  2.346e-02   1.5e-04  5.5e-06  1.3e+04  6.1e+01
  2780  1.41499e-01  3.165e-01  2.334e-02   1.5e-04  5.5e-06  1.3e+04  5.3e+01
  2790  1.41426e-01  3.164e-01  2.321e-02   1.5e-04  5.5e-06  1.3e+04  4.3e+01
  2800  1.41354e-01  3.162e-01  2.310e-02   1.5e-04  5.4e-06  1.3e+04  4.6e+01
  2810  1.41284e-01  3.161e-01  2.299e-02   1.5e-04  5.4e-06  1.3e+04  6.4e+01
  2820  1.41211e-01  3.159e-01  2.288e-02   1.5e-04  5.4e-06  1.4e+04  5.6e+01
  2830  1.41139e-01  3.158e-01  2.278e-02   1.5e-04  5.3e-06  1.4e+04  4.6e+01
  2840  1.41066e-01  3.157e-01  2.268e-02   1.5e-04  5.3e-06  1.4e+04  5.6e+01
  2850  1.40993e-01  3.155e-01  2.258e-02   1.5e-04  5.3e-06  1.4e+04  6.5e+01
  2860  1.40916e-01  3.154e-01  2.248e-02   1.5e-04  5.2e-06  1.4e+04  5.1e+01
  2870  1.40847e-01  3.152e-01  2.239e-02   1.5e-04  5.2e-06  1.4e+04  5.9e+01
  2880  1.40776e-01  3.151e-01  2.230e-02   1.5e-04  5.2e-06  1.4e+04  6.4e+01
  2890  1.40702e-01  3.150e-01  2.221e-02   1.5e-04  5.2e-06  1.4e+04  6.8e+01
  2900  1.40630e-01  3.148e-01  2.213e-02   1.5e-04  5.1e-06  1.4e+04  5.6e+01
  2910  1.40558e-01  3.147e-01  2.205e-02   1.5e-04  5.1e-06  1.4e+04  5.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  2920  1.40488e-01  3.146e-01  2.198e-02   1.5e-04  5.1e-06  1.4e+04  6.7e+01
  2930  1.40415e-01  3.144e-01  2.190e-02   1.5e-04  5.1e-06  1.4e+04  6.5e+01
  2940  1.40342e-01  3.143e-01  2.183e-02   1.5e-04  5.0e-06  1.4e+04  5.9e+01
  2950  1.40268e-01  3.142e-01  2.176e-02   1.5e-04  5.0e-06  1.4e+04  6.8e+01
  2960  1.40194e-01  3.140e-01  2.169e-02   1.5e-04  5.0e-06  1.4e+04  7.1e+01
  2970  1.40119e-01  3.139e-01  2.162e-02   1.5e-04  5.0e-06  1.4e+04  7.1e+01
  2980  1.40046e-01  3.137e-01  2.155e-02   1.5e-04  4.9e-06  1.4e+04  5.6e+01
  2990  1.39975e-01  3.136e-01  2.149e-02   1.5e-04  4.9e-06  1.4e+04  6.5e+01
  3000  1.39903e-01  3.135e-01  2.144e-02   1.5e-04  4.9e-06  1.4e+04  8.1e+01
  3010  1.39825e-01  3.133e-01  2.137e-02   1.5e-04  4.9e-06  1.4e+04  5.3e+01
  3020  1.39748e-01  3.132e-01  2.131e-02   1.5e-04  4.9e-06  1.4e+04  5.5e+01
  3030  1.39678e-01  3.131e-01  2.126e-02   1.5e-04  4.9e-06  1.4e+04  7.7e+01
  3040  1.39605e-01  3.130e-01  2.121e-02   1.5e-04  4.8e-06  1.4e+04  8.2e+01
  3050  1.39529e-01  3.128e-01  2.116e-02   1.5e-04  4.8e-06  1.4e+04  6.9e+01
  3060  1.39455e-01  3.127e-01  2.111e-02   1.5e-04  4.8e-06  1.4e+04  6.3e+01
  3070  1.39385e-01  3.126e-01  2.106e-02   1.5e-04  4.8e-06  1.4e+04  8.6e+01
  3080  1.39309e-01  3.124e-01  2.102e-02   1.5e-04  4.8e-06  1.4e+04  8.1e+01
  3090  1.39233e-01  3.123e-01  2.097e-02   1.5e-04  4.7e-06  1.4e+04  8.5e+01
  3100  1.39158e-01  3.122e-01  2.093e-02   1.5e-04  4.7e-06  1.4e+04  7.2e+01
  3110  1.39087e-01  3.120e-01  2.088e-02   1.5e-04  4.7e-06  1.4e+04  8.1e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  3120  1.39009e-01  3.119e-01  2.084e-02   1.5e-04  4.7e-06  1.4e+04  1.1e+02
  3130  1.38933e-01  3.118e-01  2.080e-02   1.5e-04  4.7e-06  1.4e+04  9.3e+01
  3140  1.38856e-01  3.116e-01  2.076e-02   1.5e-04  4.7e-06  1.4e+04  7.5e+01
  3150  1.38777e-01  3.115e-01  2.072e-02   1.5e-04  4.7e-06  1.4e+04  9.0e+01
  3160  1.38699e-01  3.114e-01  2.069e-02   1.5e-04  4.6e-06  1.4e+04  8.1e+01
  3170  1.38620e-01  3.112e-01  2.065e-02   1.5e-04  4.6e-06  1.4e+04  7.8e+01
  3180  1.38544e-01  3.111e-01  2.061e-02   1.5e-04  4.6e-06  1.4e+04  8.3e+01
  3190  1.38467e-01  3.110e-01  2.058e-02   1.5e-04  4.6e-06  1.4e+04  1.1e+02
  3200  1.38386e-01  3.108e-01  2.055e-02   1.5e-04  4.6e-06  1.4e+04  1.1e+02
  3210  1.38304e-01  3.107e-01  2.051e-02   1.5e-04  4.6e-06  1.4e+04  7.4e+01
  3220  1.38226e-01  3.105e-01  2.048e-02   1.5e-04  4.6e-06  1.4e+04  8.7e+01
  3230  1.38151e-01  3.104e-01  2.045e-02   1.5e-04  4.6e-06  1.4e+04  1.2e+02
  3240  1.38066e-01  3.103e-01  2.042e-02   1.5e-04  4.5e-06  1.4e+04  1.1e+02
  3250  1.37981e-01  3.101e-01  2.039e-02   1.5e-04  4.5e-06  1.5e+04  9.3e+01
  3260  1.37904e-01  3.100e-01  2.036e-02   1.5e-04  4.5e-06  1.5e+04  1.2e+02
  3270  1.37819e-01  3.098e-01  2.033e-02   1.5e-04  4.5e-06  1.5e+04  1.2e+02
  3280  1.37736e-01  3.097e-01  2.031e-02   1.5e-04  4.5e-06  1.5e+04  1.1e+02
  3290  1.37655e-01  3.096e-01  2.028e-02   1.5e-04  4.5e-06  1.5e+04  9.9e+01
  3300  1.37569e-01  3.094e-01  2.026e-02   1.5e-04  4.5e-06  1.5e+04  1.1e+02
  3310  1.37484e-01  3.093e-01  2.023e-02   1.5e-04  4.5e-06  1.5e+04  1.1e+02
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  3320  1.37398e-01  3.091e-01  2.020e-02   1.5e-04  4.5e-06  1.5e+04  1.0e+02
  3330  1.37313e-01  3.090e-01  2.018e-02   1.5e-04  4.4e-06  1.5e+04  1.1e+02
  3340  1.37227e-01  3.088e-01  2.016e-02   1.5e-04  4.4e-06  1.5e+04  1.3e+02
  3350  1.37136e-01  3.087e-01  2.013e-02   1.5e-04  4.4e-06  1.5e+04  1.1e+02
  3360  1.37047e-01  3.085e-01  2.011e-02   1.5e-04  4.4e-06  1.5e+04  1.1e+02
  3370  1.36953e-01  3.084e-01  2.009e-02   1.5e-04  4.4e-06  1.5e+04  1.1e+02
  3380  1.36864e-01  3.082e-01  2.006e-02   1.5e-04  4.4e-06  1.5e+04  1.2e+02
  3390  1.36773e-01  3.081e-01  2.004e-02   1.5e-04  4.4e-06  1.5e+04  1.0e+02
  3400  1.36681e-01  3.079e-01  2.002e-02   1.5e-04  4.4e-06  1.5e+04  1.1e+02
  3410  1.36589e-01  3.078e-01  2.000e-02   1.5e-04  4.4e-06  1.5e+04  1.5e+02
  3420  1.36494e-01  3.076e-01  1.998e-02   1.5e-04  4.4e-06  1.5e+04  1.5e+02
  3430  1.36398e-01  3.074e-01  1.996e-02   1.5e-04  4.4e-06  1.5e+04  1.1e+02
  3440  1.36301e-01  3.073e-01  1.994e-02   1.5e-04  4.3e-06  1.5e+04  1.0e+02
  3450  1.36207e-01  3.071e-01  1.992e-02   1.5e-04  4.3e-06  1.5e+04  1.4e+02
  3460  1.36101e-01  3.069e-01  1.990e-02   1.5e-04  4.3e-06  1.5e+04  1.3e+02
  3470  1.36001e-01  3.068e-01  1.988e-02   1.5e-04  4.3e-06  1.5e+04  1.1e+02
  3480  1.35903e-01  3.066e-01  1.986e-02   1.5e-04  4.3e-06  1.5e+04  1.2e+02
  3490  1.35800e-01  3.064e-01  1.984e-02   1.5e-04  4.3e-06  1.5e+04  1.6e+02
  3500  1.35695e-01  3.063e-01  1.982e-02   1.5e-04  4.3e-06  1.5e+04  1.3e+02
  3510  1.35585e-01  3.061e-01  1.980e-02   1.5e-04  4.3e-06  1.5e+04  1.1e+02
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  3520  1.35480e-01  3.059e-01  1.978e-02   1.5e-04  4.3e-06  1.5e+04  1.5e+02
  3530  1.35366e-01  3.057e-01  1.977e-02   1.5e-04  4.3e-06  1.5e+04  1.4e+02
  3540  1.35255e-01  3.055e-01  1.975e-02   1.5e-04  4.3e-06  1.5e+04  1.2e+02
  3550  1.35144e-01  3.054e-01  1.973e-02   1.5e-04  4.3e-06  1.5e+04  1.1e+02
  3560  1.35028e-01  3.052e-01  1.971e-02   1.5e-04  4.3e-06  1.5e+04  1.1e+02
  3570  1.34914e-01  3.050e-01  1.969e-02   1.5e-04  4.2e-06  1.5e+04  1.5e+02
  3580  1.34790e-01  3.048e-01  1.968e-02   1.5e-04  4.2e-06  1.5e+04  1.2e+02
  3590  1.34672e-01  3.046e-01  1.966e-02   1.5e-04  4.2e-06  1.5e+04  1.2e+02
  3600  1.34551e-01  3.044e-01  1.964e-02   1.5e-04  4.2e-06  1.5e+04  1.6e+02
  3610  1.34429e-01  3.042e-01  1.962e-02   1.5e-04  4.2e-06  1.5e+04  1.3e+02
  3620  1.34298e-01  3.040e-01  1.961e-02   1.5e-04  4.2e-06  1.5e+04  1.2e+02
  3630  1.34173e-01  3.038e-01  1.959e-02   1.5e-04  4.2e-06  1.5e+04  1.4e+02
  3640  1.34043e-01  3.035e-01  1.957e-02   1.4e-04  4.2e-06  1.5e+04  1.7e+02
  3650  1.33906e-01  3.033e-01  1.955e-02   1.4e-04  4.2e-06  1.5e+04  1.3e+02
  3660  1.33771e-01  3.031e-01  1.954e-02   1.4e-04  4.2e-06  1.5e+04  1.1e+02
  3670  1.33631e-01  3.029e-01  1.952e-02   1.4e-04  4.2e-06  1.5e+04  1.1e+02
  3680  1.33498e-01  3.026e-01  1.950e-02   1.4e-04  4.2e-06  1.5e+04  1.6e+02
  3690  1.33349e-01  3.024e-01  1.948e-02   1.4e-04  4.2e-06  1.5e+04  1.3e+02
  3700  1.33202e-01  3.022e-01  1.947e-02   1.4e-04  4.2e-06  1.5e+04  1.0e+02
  3710  1.33059e-01  3.019e-01  1.945e-02   1.4e-04  4.2e-06  1.5e+04  1.3e+02
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  3720  1.32901e-01  3.017e-01  1.943e-02   1.4e-04  4.2e-06  1.6e+04  1.5e+02
  3730  1.32736e-01  3.014e-01  1.941e-02   1.4e-04  4.1e-06  1.6e+04  1.0e+02
  3740  1.32584e-01  3.012e-01  1.940e-02   1.4e-04  4.1e-06  1.6e+04  1.1e+02
  3750  1.32428e-01  3.009e-01  1.938e-02   1.4e-04  4.1e-06  1.6e+04  1.6e+02
  3760  1.32257e-01  3.006e-01  1.936e-02   1.4e-04  4.1e-06  1.6e+04  1.5e+02
  3770  1.32086e-01  3.003e-01  1.934e-02   1.4e-04  4.1e-06  1.6e+04  1.0e+02
  3780  1.31909e-01  3.001e-01  1.932e-02   1.4e-04  4.1e-06  1.6e+04  1.1e+02
  3790  1.31733e-01  2.998e-01  1.931e-02   1.4e-04  4.1e-06  1.6e+04  1.2e+02
  3800  1.31543e-01  2.995e-01  1.929e-02   1.4e-04  4.1e-06  1.6e+04  1.2e+02
  3810  1.31357e-01  2.992e-01  1.927e-02   1.4e-04  4.1e-06  1.6e+04  1.0e+02
  3820  1.31175e-01  2.989e-01  1.925e-02   1.4e-04  4.1e-06  1.6e+04  1.3e+02
  3830  1.30975e-01  2.985e-01  1.923e-02   1.4e-04  4.1e-06  1.6e+04  1.4e+02
  3840  1.30776e-01  2.982e-01  1.921e-02   1.4e-04  4.1e-06  1.6e+04  1.2e+02
  3850  1.30579e-01  2.979e-01  1.919e-02   1.4e-04  4.1e-06  1.6e+04  1.1e+02
  3860  1.30377e-01  2.976e-01  1.917e-02   1.4e-04  4.1e-06  1.6e+04  1.3e+02
  3870  1.30166e-01  2.972e-01  1.915e-02   1.4e-04  4.1e-06  1.6e+04  1.6e+02
  3880  1.29945e-01  2.969e-01  1.913e-02   1.4e-04  4.1e-06  1.6e+04  1.1e+02
  3890  1.29729e-01  2.965e-01  1.911e-02   1.4e-04  4.1e-06  1.6e+04  1.0e+02
  3900  1.29512e-01  2.962e-01  1.909e-02   1.4e-04  4.1e-06  1.6e+04  1.3e+02
  3910  1.29278e-01  2.958e-01  1.907e-02   1.4e-04  4.1e-06  1.6e+04  1.3e+02
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  3920  1.29025e-01  2.954e-01  1.905e-02   1.4e-04  4.0e-06  1.6e+04  1.1e+02
  3930  1.28785e-01  2.950e-01  1.903e-02   1.4e-04  4.0e-06  1.6e+04  1.0e+02
  3940  1.28538e-01  2.946e-01  1.901e-02   1.4e-04  4.0e-06  1.6e+04  1.2e+02
  3950  1.28265e-01  2.942e-01  1.898e-02   1.4e-04  4.0e-06  1.6e+04  1.0e+02
  3960  1.28002e-01  2.937e-01  1.896e-02   1.4e-04  4.0e-06  1.6e+04  8.4e+01
  3970  1.27735e-01  2.933e-01  1.894e-02   1.4e-04  4.0e-06  1.6e+04  1.0e+02
  3980  1.27463e-01  2.929e-01  1.891e-02   1.4e-04  4.0e-06  1.6e+04  1.3e+02
  3990  1.27170e-01  2.924e-01  1.889e-02   1.4e-04  4.0e-06  1.6e+04  9.3e+01
  4000  1.26881e-01  2.919e-01  1.886e-02   1.4e-04  4.0e-06  1.6e+04  9.5e+01
  4010  1.26585e-01  2.915e-01  1.884e-02   1.4e-04  4.0e-06  1.6e+04  1.1e+02
  4020  1.26254e-01  2.909e-01  1.881e-02   1.4e-04  4.0e-06  1.6e+04  9.1e+01
  4030  1.25946e-01  2.904e-01  1.879e-02   1.4e-04  4.0e-06  1.6e+04  8.9e+01
  4040  1.25638e-01  2.900e-01  1.876e-02   1.4e-04  4.0e-06  1.6e+04  1.0e+02
  4050  1.25308e-01  2.894e-01  1.874e-02   1.4e-04  4.0e-06  1.6e+04  1.2e+02
  4060  1.24963e-01  2.889e-01  1.871e-02   1.4e-04  4.0e-06  1.6e+04  7.8e+01
  4070  1.24624e-01  2.883e-01  1.868e-02   1.4e-04  4.0e-06  1.6e+04  8.4e+01
  4080  1.24283e-01  2.878e-01  1.865e-02   1.4e-04  4.0e-06  1.6e+04  1.1e+02
  4090  1.23924e-01  2.872e-01  1.863e-02   1.4e-04  4.0e-06  1.6e+04  1.2e+02
  4100  1.23537e-01  2.866e-01  1.860e-02   1.4e-04  4.0e-06  1.6e+04  9.4e+01
  4110  1.23162e-01  2.860e-01  1.857e-02   1.4e-04  4.0e-06  1.6e+04  8.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  4120  1.22787e-01  2.854e-01  1.854e-02   1.4e-04  4.0e-06  1.6e+04  1.2e+02
  4130  1.22366e-01  2.848e-01  1.851e-02   1.4e-04  4.0e-06  1.6e+04  1.2e+02
  4140  1.21949e-01  2.841e-01  1.847e-02   1.4e-04  4.0e-06  1.6e+04  9.0e+01
  4150  1.21511e-01  2.834e-01  1.844e-02   1.4e-04  4.0e-06  1.6e+04  8.2e+01
  4160  1.21077e-01  2.827e-01  1.841e-02   1.3e-04  4.0e-06  1.6e+04  1.1e+02
  4170  1.20624e-01  2.820e-01  1.837e-02   1.3e-04  4.0e-06  1.6e+04  8.9e+01
