OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:C1:00.0
None
./trajdata100/train_lih_6-31g.npy
Sizes of ptrain and pdot:
[(199996, 11, 11), (199996, 11, 11)]
len(theta) = 14641
len(jac) = 24199516
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 48399032 rows and 14641 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   340  3.09628e-03  4.325e-01  3.953e-01   1.2e-03  1.7e-04  5.5e+03  3.4e+01
   350  3.08401e-03  4.182e-01  3.763e-01   1.2e-03  1.6e-04  5.6e+03  3.7e+01
   360  3.10634e-03  4.050e-01  3.589e-01   1.2e-03  1.6e-04  5.7e+03  3.4e+01
   370  3.17807e-03  3.903e-01  3.399e-01   1.1e-03  1.5e-04  5.7e+03  1.4e+01
   380  3.28385e-03  3.778e-01  3.242e-01   1.1e-03  1.5e-04  5.8e+03  3.2e+01
   390  3.48930e-03  3.612e-01  3.034e-01   1.0e-03  1.4e-04  5.9e+03  4.0e+01
   400  3.63413e-03  3.526e-01  2.929e-01   1.0e-03  1.4e-04  6.0e+03  1.9e+01
   410  3.81947e-03  3.435e-01  2.824e-01   9.9e-04  1.4e-04  6.0e+03  3.0e+01
   420  4.05871e-03  3.334e-01  2.709e-01   9.6e-04  1.3e-04  6.1e+03  4.7e+01
   430  4.30660e-03  3.243e-01  2.608e-01   9.3e-04  1.3e-04  6.2e+03  2.0e+01
   440  4.63083e-03  3.137e-01  2.496e-01   9.0e-04  1.3e-04  6.2e+03  3.5e+01
   450  4.98669e-03  3.032e-01  2.388e-01   8.7e-04  1.2e-04  6.3e+03  1.4e+01
   460  5.32020e-03  2.942e-01  2.297e-01   8.4e-04  1.2e-04  6.4e+03  2.1e+01
   470  5.68016e-03  2.852e-01  2.205e-01   8.2e-04  1.2e-04  6.5e+03  2.0e+01
   480  6.05750e-03  2.764e-01  2.114e-01   7.9e-04  1.2e-04  6.5e+03  1.8e+01
   490  6.41129e-03  2.686e-01  2.035e-01   7.7e-04  1.1e-04  6.6e+03  2.2e+01
   500  6.87142e-03  2.591e-01  1.940e-01   7.4e-04  1.1e-04  6.7e+03  3.9e+01
   510  7.33782e-03  2.500e-01  1.850e-01   7.2e-04  1.1e-04  6.7e+03  1.8e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520  7.74924e-03  2.425e-01  1.774e-01   7.0e-04  1.1e-04  6.8e+03  1.7e+01
   530  8.22520e-03  2.343e-01  1.688e-01   6.7e-04  1.1e-04  6.9e+03  2.9e+01
   540  8.64049e-03  2.276e-01  1.617e-01   6.5e-04  1.0e-04  6.9e+03  4.2e+01
   550  9.12322e-03  2.204e-01  1.539e-01   6.3e-04  1.0e-04  7.0e+03  2.7e+01
   560  9.54608e-03  2.144e-01  1.476e-01   6.2e-04  9.8e-05  7.0e+03  5.8e+01
   570  9.97482e-03  2.086e-01  1.415e-01   6.0e-04  9.5e-05  7.1e+03  4.6e+01
   580  1.03259e-02  2.040e-01  1.367e-01   5.9e-04  9.3e-05  7.2e+03  5.4e+01
   590  1.07311e-02  1.988e-01  1.315e-01   5.7e-04  9.1e-05  7.2e+03  3.8e+01
   600  1.11504e-02  1.935e-01  1.262e-01   5.6e-04  8.9e-05  7.3e+03  3.8e+01
   610  1.14734e-02  1.895e-01  1.222e-01   5.4e-04  8.8e-05  7.4e+03  4.3e+01
   620  1.18383e-02  1.850e-01  1.177e-01   5.3e-04  8.6e-05  7.4e+03  2.6e+01
   630  1.22160e-02  1.802e-01  1.130e-01   5.2e-04  8.4e-05  7.5e+03  4.8e+01
   640  1.25374e-02  1.761e-01  1.090e-01   5.1e-04  8.2e-05  7.5e+03  4.7e+01
   650  1.28390e-02  1.722e-01  1.052e-01   4.9e-04  8.1e-05  7.6e+03  3.0e+01
   660  1.30901e-02  1.688e-01  1.020e-01   4.8e-04  7.9e-05  7.7e+03  2.2e+01
   670  1.33509e-02  1.651e-01  9.859e-02   4.7e-04  7.7e-05  7.7e+03  2.2e+01
   680  1.35236e-02  1.626e-01  9.627e-02   4.7e-04  7.6e-05  7.8e+03  4.5e+01
   690  1.37326e-02  1.593e-01  9.342e-02   4.6e-04  7.5e-05  7.8e+03  3.8e+01
   700  1.39754e-02  1.553e-01  9.003e-02   4.5e-04  7.4e-05  7.9e+03  3.9e+01
   710  1.41175e-02  1.529e-01  8.802e-02   4.4e-04  7.3e-05  7.9e+03  1.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
