OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-80GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:41:00.0
None
nprime = 435
npripri = 406
./trajdata100/train_lih_6-311ppgss.npy
Sizes of ptrain and pdot:
[(20000, 29, 29), (20000, 29, 29)]
Loss at truetheta:
6.043601238389638e-18
len(theta) = 707281
len(jac) = 16820000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 33640000 rows and 707281 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    40000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   340  3.10398e-02  2.572e-01  1.403e-01   1.7e-03  2.3e-04  2.4e+03  2.0e+01
   350  3.09872e-02  2.491e-01  1.317e-01   1.7e-03  2.2e-04  2.4e+03  1.6e+01
   360  3.09278e-02  2.406e-01  1.228e-01   1.6e-03  2.1e-04  2.5e+03  2.8e+01
   370  3.08734e-02  2.334e-01  1.153e-01   1.6e-03  2.0e-04  2.5e+03  2.3e+01
   380  3.08272e-02  2.277e-01  1.096e-01   1.5e-03  1.9e-04  2.5e+03  2.2e+01
   390  3.07748e-02  2.217e-01  1.037e-01   1.5e-03  1.8e-04  2.6e+03  1.9e+01
   400  3.07263e-02  2.163e-01  9.857e-02   1.4e-03  1.8e-04  2.6e+03  3.0e+01
   410  3.06736e-02  2.107e-01  9.341e-02   1.4e-03  1.7e-04  2.6e+03  3.0e+01
   420  3.06196e-02  2.052e-01  8.850e-02   1.4e-03  1.6e-04  2.7e+03  4.4e+01
   430  3.05715e-02  2.004e-01  8.436e-02   1.3e-03  1.6e-04  2.7e+03  2.2e+01
   440  3.05262e-02  1.958e-01  8.051e-02   1.3e-03  1.5e-04  2.7e+03  2.3e+01
   450  3.04873e-02  1.917e-01  7.716e-02   1.3e-03  1.5e-04  2.8e+03  2.4e+01
   460  3.04491e-02  1.876e-01  7.378e-02   1.3e-03  1.4e-04  2.8e+03  4.8e+01
   470  3.04091e-02  1.830e-01  7.014e-02   1.2e-03  1.4e-04  2.8e+03  3.3e+01
   480  3.03753e-02  1.790e-01  6.701e-02   1.2e-03  1.3e-04  2.8e+03  1.9e+01
   490  3.03481e-02  1.758e-01  6.450e-02   1.2e-03  1.3e-04  2.9e+03  2.1e+01
   500  3.03215e-02  1.726e-01  6.214e-02   1.2e-03  1.2e-04  2.9e+03  2.6e+01
   510  3.02865e-02  1.686e-01  5.919e-02   1.1e-03  1.2e-04  2.9e+03  3.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520  3.02546e-02  1.651e-01  5.662e-02   1.1e-03  1.2e-04  3.0e+03  2.6e+01
   530  3.02256e-02  1.620e-01  5.440e-02   1.1e-03  1.1e-04  3.0e+03  1.9e+01
   540  3.01955e-02  1.589e-01  5.224e-02   1.1e-03  1.1e-04  3.0e+03  1.9e+01
   550  3.01647e-02  1.560e-01  5.020e-02   1.0e-03  1.1e-04  3.0e+03  3.6e+01
   560  3.01371e-02  1.536e-01  4.852e-02   1.0e-03  1.0e-04  3.1e+03  2.1e+01
   570  3.01046e-02  1.509e-01  4.671e-02   1.0e-03  1.0e-04  3.1e+03  3.2e+01
   580  3.00651e-02  1.479e-01  4.468e-02   9.9e-04  9.7e-05  3.1e+03  2.0e+01
   590  3.00374e-02  1.459e-01  4.334e-02   9.7e-04  9.4e-05  3.1e+03  4.1e+01
   600  3.00036e-02  1.435e-01  4.180e-02   9.6e-04  9.2e-05  3.2e+03  3.6e+01
   610  2.99670e-02  1.411e-01  4.021e-02   9.4e-04  8.9e-05  3.2e+03  5.5e+01
   620  2.99302e-02  1.386e-01  3.865e-02   9.3e-04  8.6e-05  3.2e+03  4.4e+01
   630  2.99026e-02  1.368e-01  3.751e-02   9.1e-04  8.4e-05  3.3e+03  2.6e+01
   640  2.98706e-02  1.347e-01  3.619e-02   9.0e-04  8.2e-05  3.3e+03  3.6e+01
   650  2.98393e-02  1.326e-01  3.492e-02   8.9e-04  8.0e-05  3.3e+03  3.9e+01
   660  2.98093e-02  1.306e-01  3.368e-02   8.7e-04  7.7e-05  3.3e+03  4.5e+01
   670  2.97845e-02  1.290e-01  3.265e-02   8.6e-04  7.5e-05  3.4e+03  3.8e+01
   680  2.97588e-02  1.272e-01  3.160e-02   8.5e-04  7.3e-05  3.4e+03  2.7e+01
   690  2.97356e-02  1.256e-01  3.065e-02   8.4e-04  7.2e-05  3.4e+03  3.8e+01
   700  2.97123e-02  1.239e-01  2.968e-02   8.3e-04  7.0e-05  3.4e+03  2.5e+01
   710  2.96915e-02  1.224e-01  2.882e-02   8.2e-04  6.8e-05  3.5e+03  2.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720  2.96723e-02  1.210e-01  2.800e-02   8.1e-04  6.7e-05  3.5e+03  2.8e+01
   730  2.96561e-02  1.197e-01  2.728e-02   8.0e-04  6.5e-05  3.5e+03  3.3e+01
   740  2.96382e-02  1.182e-01  2.646e-02   7.9e-04  6.3e-05  3.5e+03  4.6e+01
   750  2.96218e-02  1.168e-01  2.566e-02   7.8e-04  6.2e-05  3.5e+03  3.2e+01
   760  2.96089e-02  1.156e-01  2.501e-02   7.7e-04  6.1e-05  3.6e+03  3.2e+01
   770  2.95961e-02  1.143e-01  2.435e-02   7.6e-04  5.9e-05  3.6e+03  3.9e+01
   780  2.95840e-02  1.131e-01  2.372e-02   7.6e-04  5.8e-05  3.6e+03  3.5e+01
   790  2.95705e-02  1.117e-01  2.300e-02   7.5e-04  5.6e-05  3.6e+03  3.0e+01
   800  2.95578e-02  1.104e-01  2.232e-02   7.4e-04  5.5e-05  3.7e+03  2.4e+01
   810  2.95484e-02  1.094e-01  2.180e-02   7.3e-04  5.4e-05  3.7e+03  4.5e+01
   820  2.95394e-02  1.084e-01  2.128e-02   7.2e-04  5.3e-05  3.7e+03  4.6e+01
   830  2.95301e-02  1.073e-01  2.073e-02   7.2e-04  5.2e-05  3.7e+03  3.2e+01
   840  2.95209e-02  1.061e-01  2.017e-02   7.1e-04  5.1e-05  3.8e+03  4.0e+01
   850  2.95128e-02  1.051e-01  1.968e-02   7.0e-04  5.0e-05  3.8e+03  4.1e+01
   860  2.95055e-02  1.042e-01  1.922e-02   7.0e-04  4.9e-05  3.8e+03  5.7e+01
   870  2.94989e-02  1.033e-01  1.880e-02   6.9e-04  4.8e-05  3.8e+03  3.1e+01
   880  2.94920e-02  1.023e-01  1.833e-02   6.8e-04  4.7e-05  3.8e+03  3.1e+01
   890  2.94854e-02  1.013e-01  1.783e-02   6.8e-04  4.6e-05  3.9e+03  2.3e+01
   900  2.94805e-02  1.004e-01  1.742e-02   6.7e-04  4.5e-05  3.9e+03  4.0e+01
   910  2.94761e-02  9.958e-02  1.702e-02   6.7e-04  4.4e-05  3.9e+03  2.6e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   920  2.94725e-02  9.874e-02  1.663e-02   6.6e-04  4.3e-05  3.9e+03  3.9e+01
   930  2.94698e-02  9.791e-02  1.625e-02   6.5e-04  4.2e-05  4.0e+03  5.5e+01
   940  2.94679e-02  9.701e-02  1.583e-02   6.5e-04  4.1e-05  4.0e+03  4.1e+01
   950  2.94670e-02  9.632e-02  1.551e-02   6.4e-04  4.0e-05  4.0e+03  4.7e+01
   960  2.94664e-02  9.552e-02  1.515e-02   6.4e-04  3.9e-05  4.0e+03  4.2e+01
   970  2.94660e-02  9.487e-02  1.485e-02   6.3e-04  3.9e-05  4.0e+03  4.3e+01
   980  2.94659e-02  9.423e-02  1.456e-02   6.3e-04  3.8e-05  4.1e+03  5.1e+01
   990  2.94661e-02  9.355e-02  1.426e-02   6.2e-04  3.7e-05  4.1e+03  5.0e+01
  1000  2.94671e-02  9.271e-02  1.388e-02   6.2e-04  3.7e-05  4.1e+03  4.9e+01
  1010  2.94684e-02  9.213e-02  1.363e-02   6.2e-04  3.6e-05  4.1e+03  4.1e+01
  1020  2.94703e-02  9.153e-02  1.337e-02   6.1e-04  3.5e-05  4.1e+03  3.6e+01
  1030  2.94731e-02  9.090e-02  1.310e-02   6.1e-04  3.5e-05  4.2e+03  4.8e+01
  1040  2.94768e-02  9.029e-02  1.284e-02   6.0e-04  3.4e-05  4.2e+03  5.3e+01
  1050  2.94804e-02  8.981e-02  1.264e-02   6.0e-04  3.4e-05  4.2e+03  3.7e+01
  1060  2.94861e-02  8.918e-02  1.238e-02   6.0e-04  3.3e-05  4.2e+03  4.8e+01
  1070  2.94917e-02  8.865e-02  1.217e-02   5.9e-04  3.2e-05  4.2e+03  5.3e+01
  1080  2.94977e-02  8.816e-02  1.197e-02   5.9e-04  3.2e-05  4.3e+03  4.3e+01
  1090  2.95046e-02  8.764e-02  1.176e-02   5.9e-04  3.1e-05  4.3e+03  3.1e+01
  1100  2.95132e-02  8.707e-02  1.154e-02   5.8e-04  3.1e-05  4.3e+03  6.3e+01
  1110  2.95216e-02  8.656e-02  1.134e-02   5.8e-04  3.0e-05  4.3e+03  4.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1120  2.95310e-02  8.604e-02  1.114e-02   5.7e-04  3.0e-05  4.3e+03  3.3e+01
  1130  2.95413e-02  8.551e-02  1.093e-02   5.7e-04  2.9e-05  4.4e+03  3.3e+01
  1140  2.95510e-02  8.505e-02  1.076e-02   5.7e-04  2.9e-05  4.4e+03  5.5e+01
  1150  2.95617e-02  8.457e-02  1.058e-02   5.7e-04  2.8e-05  4.4e+03  4.3e+01
  1160  2.95753e-02  8.399e-02  1.036e-02   5.6e-04  2.8e-05  4.4e+03  5.8e+01
  1170  2.95862e-02  8.357e-02  1.021e-02   5.6e-04  2.8e-05  4.4e+03  4.9e+01
  1180  2.95986e-02  8.311e-02  1.004e-02   5.6e-04  2.7e-05  4.5e+03  4.4e+01
  1190  2.96107e-02  8.268e-02  9.886e-03   5.5e-04  2.7e-05  4.5e+03  3.3e+01
  1200  2.96235e-02  8.224e-02  9.729e-03   5.5e-04  2.6e-05  4.5e+03  3.9e+01
  1210  2.96377e-02  8.178e-02  9.564e-03   5.5e-04  2.6e-05  4.5e+03  4.3e+01
  1220  2.96504e-02  8.137e-02  9.422e-03   5.4e-04  2.6e-05  4.5e+03  2.5e+01
  1230  2.96612e-02  8.103e-02  9.305e-03   5.4e-04  2.5e-05  4.5e+03  5.4e+01
  1240  2.96761e-02  8.058e-02  9.153e-03   5.4e-04  2.5e-05  4.6e+03  7.0e+01
  1250  2.96900e-02  8.018e-02  9.018e-03   5.4e-04  2.5e-05  4.6e+03  5.5e+01
  1260  2.97040e-02  7.978e-02  8.886e-03   5.3e-04  2.4e-05  4.6e+03  8.0e+01
